Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,LALBAHDUR PET,2,COMMERCIAL,3,2,43,4.73
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,MADDIKAL,2,COMMERCIAL,21,21,5541,40.188
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,NARSINGAPUR B,2,COMMERCIAL,8,8,394,11.09
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,Gudi thanda,2,COMMERCIAL,1,1,6,1
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,KONDAPOOR,2,COMMERCIAL,65,60,9604,89.287
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,Nadimi thanda,2,COMMERCIAL,1,1,19,1
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,PEDDAPALLY,2,COMMERCIAL,2,2,13,2
KAMAREDDY,KAMAREDDY,DOMAKONDA,RAJAMPET,PONDURTHI,2,COMMERCIAL,33,31,2105,60.66
KHAMMAM,KHAMMAM,KOTHALINGALA,KAREPALLY,GATE POLAMPALLY- KAR,2,COMMERCIAL,12,10,613,13.6
KHAMMAM,KHAMMAM,KOTHALINGALA,KAREPALLY,GETU KARE PALLY-KAR,2,COMMERCIAL,30,22,5686,55.17
KHAMMAM,KHAMMAM,KOTHALINGALA,KAREPALLY,GIDDAVARI GUDEM-KAR,2,COMMERCIAL,17,14,741,18.7
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,V.R.BANJARA,2,COMMERCIAL,6,3,469,3.73
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,ZINKALA THANDA,2,COMMERCIAL,7,6,70,10
KHAMMAM,KHAMMAM,RAGUNADAPALEM,RAGUNADAPALEM,CHERUVUKOMMU THANDA,2,COMMERCIAL,11,8,2593,26.41
KHAMMAM,KHAMMAM,RAGUNADAPALEM,RAGUNADAPALEM,CHINTAGURTHI,2,COMMERCIAL,44,40,8181,99.13
KHAMMAM,KHAMMAM,RAGUNADAPALEM,RAGUNADAPALEM,DARAVEEDU,2,COMMERCIAL,23,15,4121,55.87
KHAMMAM,KHAMMAM,RAGUNADAPALEM,RAGUNADAPALEM,GANESWARAM,2,COMMERCIAL,23,23,1062,31.49
KHAMMAM,KHAMMAM,RAGUNADAPALEM,RAGUNADAPALEM,KAMANCHIKAL,2,COMMERCIAL,74,65,9915,232.835
KHAMMAM,KHAMMAM,RAGUNADAPALEM,RAGUNADAPALEM,KOYACHILAKA,2,COMMERCIAL,77,67,13036,142.56
KHAMMAM,KHAMMAM,RAGUNADAPALEM,RAGUNADAPALEM,MUTHYALAGUDEM,2,COMMERCIAL,3,1,24,4.1
KHAMMAM,KHAMMAM,RAGUNADAPALEM,RAGUNADAPALEM,PUVVADA UDAY NAGAR,2,COMMERCIAL,35,30,1675,47.24
NIRMAL,BHAINSA,BASAR,LOHESRA,KANKAPUR,2,COMMERCIAL,30,24,4256,75.409
NIRMAL,BHAINSA,BASAR,LOHESRA,KISTAPUR,2,COMMERCIAL,16,13,1300,24.64
NIRMAL,BHAINSA,BASAR,LOHESRA,LOHESRA,2,COMMERCIAL,344,301,37643,610.95
NIRMAL,BHAINSA,BASAR,LOHESRA,MANMAD,2,COMMERCIAL,45,36,6322,58.263
NIRMAL,BHAINSA,BASAR,LOHESRA,MOHALA,2,COMMERCIAL,8,5,155,8.44
NIRMAL,BHAINSA,BASAR,LOHESRA,NAGER,2,COMMERCIAL,15,10,1467,27.51
NIRMAL,BHAINSA,BASAR,LOHESRA,NARSIMHANAGER TANDA,2,COMMERCIAL,1,1,0,1
NIRMAL,BHAINSA,BASAR,LOHESRA,PANCHIGUDA,2,COMMERCIAL,21,18,1151,29.7
NIRMAL,BHAINSA,BASAR,LOHESRA,PIPREE,2,COMMERCIAL,21,19,591,46.48
NIRMAL,BHAINSA,BASAR,LOHESRA,POTPALLY,2,COMMERCIAL,5,4,95,8.999
NIRMAL,BHAINSA,BASAR,LOHESRA,POTPALLY (P),2,COMMERCIAL,1,1,0,1
NIRMAL,BHAINSA,BASAR,LOHESRA,PUSPUR,2,COMMERCIAL,50,37,6517,75.009
NIRMAL,BHAINSA,BASAR,LOHESRA,RAIPURKANDLY,2,COMMERCIAL,32,27,1164,42.718
NIRMAL,BHAINSA,BASAR,LOHESRA,RAJURA,2,COMMERCIAL,57,55,4839,97.926
NIRMAL,BHAINSA,BASAR,LOHESRA,SATHGOAM,2,COMMERCIAL,4,3,49,5
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,REVOJIPET(OLD),2,COMMERCIAL,51,46,4113,90.24
NIRMAL,NIRMAL,KHANAPUR,KADDAM,ALAMPALLY,2,COMMERCIAL,5,5,440,15
